Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
36,tt7214762,2018-12-10,2018-12-10,,"Jim & Andy: The Great Beyond","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",https://www.imdb.com/title/tt7214762/,Movie,7.6,94,2017,"Documentary",28200,2017-11-17,"Chris Smith",9,2018-12-10
37,tt1571404,2018-12-20,2018-12-20,,"I'm Here","I'm Here",https://www.imdb.com/title/tt1571404/,Short,7.7,31,2010,"Short, Drama, Romance, Sci-Fi",7972,2010-01-21,"Spike Jonze",8,2018-12-20
38,tt0209444,2019-01-26,2019-01-26,,"Two","Two",https://www.imdb.com/title/tt0209444/,TV Short,8.0,12,1965,"Short",1094,1981-06-29,"Satyajit Ray",8,2019-01-26
39,tt2525004,2019-01-28,2019-01-28,,"Mystery","Tayna",https://www.imdb.com/title/tt2525004/,Short,6.3,7,2011,"Short, Drama",350,2011-10-12,"Andrey Zvyagintsev",6,2019-01-28
40,tt1790638,2019-01-28,2019-01-28,,"Apocrypha","Apocrypha",https://www.imdb.com/title/tt1790638/,Short,6.5,13,2009,"Short, Drama",485,2009-07-23,"Andrey Zvyagintsev",6,2019-01-28
41,tt4257858,2019-03-05,2019-03-05,,"Going Clear: Scientology & the Prison of Belief","Going Clear: Scientology and the Prison of Belief",https://www.imdb.com/title/tt4257858/,Movie,8.0,119,2015,"Documentary",41359,2015-06-25,"Alex Gibney",8,2019-03-05
42,tt6333060,2019-03-17,2019-03-17,,"Icarus","Icarus",https://www.imdb.com/title/tt6333060/,Movie,7.9,120,2017,"Documentary, Sport",55580,2017-08-04,"Bryan Fogel",8,2019-03-17
43,tt7775622,2019-03-19,2019-03-19,,"Free Solo","Free Solo",https://www.imdb.com/title/tt7775622/,Movie,8.1,100,2018,"Documentary, Adventure, Sport",79108,2018-12-13,"Jimmy Chin, Elizabeth Chai Vasarhelyi",9,2019-03-19
44,tt7519174,2019-03-20,2019-03-20,,"Of Fathers and Sons","Of Fathers and Sons - Die Kinder des Kalifats",https://www.imdb.com/title/tt7519174/,Movie,7.3,99,2017,"Documentary, War",2776,2018-11-16,"Talal Derki",7,2019-03-20
45,tt3268458,2019-03-24,2019-03-24,,"The Internet's Own Boy: The Story of Aaron Swartz","The Internet's Own Boy: The Story of Aaron Swartz",https://www.imdb.com/title/tt3268458/,Movie,8.0,105,2014,"Documentary, Biography, Crime",18145,2014-06-27,"Brian Knappenberger",7,2019-03-24
