Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
58,tt0086831,2021-06-01,2021-06-01,,"Yes, Prime Minister","Yes, Prime Minister",https://www.imdb.com/title/tt0086831/,TV Series,8.6,30,1986,"Comedy",14582,1986-01-09,,7,2021-06-01
59,tt0903747,2021-08-27,2021-08-27,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,48,2008,"Crime, Drama, Thriller",2549320,2008-01-20,,8,2021-08-27
60,tt10155688,2021-09-12,2021-09-12,,"Mare of Easttown","Mare of Easttown",https://www.imdb.com/title/tt10155688/,TV Mini Series,8.4,60,2021,"Crime, Drama, Mystery",218602,2021-04-18,,8,2021-09-12
61,tt0459159,2021-09-27,2021-09-27,,"The Thick of It","The Thick of It",https://www.imdb.com/title/tt0459159/,TV Series,8.7,30,2005,"Comedy",29189,2005-05-19,,8,2021-09-27
62,tt9398466,2022-05-15,2022-05-15,,"Delhi Crime","Delhi Crime",https://www.imdb.com/title/tt9398466/,TV Series,8.5,50,2019,"Crime, Drama",30329,2019-03-22,,8,2022-05-15
63,tt12004706,2022-06-01,2022-06-01,,"Panchayat","Panchayat",https://www.imdb.com/title/tt12004706/,TV Series,9.0,,2020,"Comedy, Drama",115887,2020-03-05,,7,2022-06-01
64,tt7660850,2023-03-12,2023-03-12,,"Succession","Succession",https://www.imdb.com/title/tt7660850/,TV Series,8.8,60,2018,"Comedy, Drama",348922,2018-06-03,,8,2023-03-12
65,tt6473300,2023-07-17,2023-07-17,,"Mirzapur","Mirzapur",https://www.imdb.com/title/tt6473300/,TV Series,8.4,60,2018,"Action, Crime, Thriller",92627,2018-11-15,,8,2023-07-20
66,tt10048342,2023-07-30,2023-07-30,,"The Queen's Gambit","The Queen's Gambit",https://www.imdb.com/title/tt10048342/,TV Mini Series,8.5,60,2020,"Drama",654805,2020-10-23,,9,2023-07-30
67,tt10228230,2023-11-12,2023-11-12,,"Quiz","Quiz",https://www.imdb.com/title/tt10228230/,TV Mini Series,7.3,49,2020,"Crime, Drama, History",8785,2020-05-31,,7,2023-11-12
68,tt12483464,2024-06-24,2024-06-24,,"Gordon Ramsay: Uncharted: India's Spice Hub","Gordon Ramsay: Uncharted: India's Spice Hub",https://www.imdb.com/title/tt12483464/,TV Episode,8.3,,2020,"Adventure, Reality-TV",89,2020-07-12,"Neil DeGroot",7,2024-06-24
69,tt13016388,2024-07-26,2024-07-26,,"3 Body Problem","3 Body Problem",https://www.imdb.com/title/tt13016388/,TV Series,7.5,60,2024,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",177404,2024-03-21,,7,2024-07-26
70,tt16296870,2024-08-22,2024-08-22,,"The Railway Men","The Railway Men: The Untold Story of Bhopal 1984",https://www.imdb.com/title/tt16296870/,TV Mini Series,8.5,60,2023,"Drama, History, Thriller",27890,2023-11-18,,8,2024-08-22
71,tt0192263,2024-11-12,2024-11-12,,"Longitude","Longitude",https://www.imdb.com/title/tt0192263/,TV Mini Series,7.8,99,2000,"Drama, History",2577,2000-01-02,,9,2024-11-12
72,tt0472027,2025-01-05,2025-01-05,,"John Adams","John Adams",https://www.imdb.com/title/tt0472027/,TV Mini Series,8.4,60,2008,"Biography, Drama, History",39675,2008-03-16,,7,2025-01-05
73,tt31812476,2025-02-13,2025-02-13,,"Beast Games","Beast Games",https://www.imdb.com/title/tt31812476/,TV Series,5.9,50,2024,"Game-Show",22229,2024-12-19,,7,2025-02-13
74,tt31806037,2025-03-30,2025-03-30,,"Adolescence","Adolescence",https://www.imdb.com/title/tt31806037/,TV Mini Series,8.1,60,2025,"Crime, Drama, Thriller",291684,2025-03-13,,8,2025-03-30
75,tt10919420,2025-04-24,2025-04-24,,"Squid Game","Ojing-eo geim",https://www.imdb.com/title/tt10919420/,TV Series,7.9,60,2021,"Action, Crime, Drama, Mystery, Thriller",748311,2021-09-17,,8,2025-04-24
76,tt1883092,2025-06-08,2025-06-08,,"Generation War","Unsere Mütter, unsere Väter",https://www.imdb.com/title/tt1883092/,TV Mini Series,8.4,90,2013,"Action, Drama, History, War",35010,2014-05-06,,8,2025-06-08
77,tt2128016,2025-06-08,2025-06-08,,"Mr. D","Mr. D",https://www.imdb.com/title/tt2128016/,TV Series,7.4,30,2012,"Comedy",3248,2018-11-07,,7,2025-06-08
78,tt7985576,2025-08-25,2025-08-25,,"The Serpent","The Serpent",https://www.imdb.com/title/tt7985576/,TV Mini Series,7.6,60,2021,"Crime, Drama, Thriller",54325,2021-04-02,,8,2025-08-25
79,tt28306965,2025-09-05,2025-09-05,,"The Hunt for Veerappan","The Hunt for Veerappan",https://www.imdb.com/title/tt28306965/,TV Series,7.9,50,2023,"Documentary, Biography, Crime",3165,2023-08-04,,9,2025-09-05
80,tt35064818,2025-09-10,2025-09-10,,"Black Warrant","Black Warrant",https://www.imdb.com/title/tt35064818/,TV Series,7.9,45,2025,"Crime, Drama",8111,2025-01-10,,8,2025-09-10
81,tt28013708,2025-11-06,2025-11-06,,"Task","Task",https://www.imdb.com/title/tt28013708/,TV Series,8.0,60,2025,"Crime, Drama",66980,2025-09-07,,9,2025-11-06
82,tt0425118,2026-01-20,2026-01-20,,"I Know This Much Is True","I Know This Much Is True",https://www.imdb.com/title/tt0425118/,TV Mini Series,8.1,60,2020,"Drama",27271,2020-05-10,,9,2026-01-20
83,tt13406094,2026-01-24,2026-01-24,,"The White Lotus","The White Lotus",https://www.imdb.com/title/tt13406094/,TV Series,8.0,60,2021,"Comedy, Drama",317021,2021-07-11,,8,2026-01-27
